Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,08022024,2833420358,0002309
Trade Date <08-FEB-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1018GS2026,GS,136,124,91.18
20,2,182D010824,TB,500,500,100.00
20,3,182D020524,TB,100,100,100.00
20,4,182D040724,TB,500,500,100.00
20,5,182D060624,TB,800,800,100.00
20,6,182D090524,TB,100,100,100.00
20,7,182D110724,TB,1100,1100,100.00
20,8,182D130624,TB,200,200,100.00
20,9,182D140324,TB,1000,1000,100.00
20,10,182D200624,TB,100,100,100.00
20,11,182D290224,TB,10000,10000,100.00
20,12,20MICRONS,EQ,118843,60832,51.19
20,13,360ONE,EQ,791047,591150,74.73
20,14,364D101024,TB,100,100,100.00
20,15,364D110424,TB,400,200,50.00
20,16,364D121224,TB,100,100,100.00
20,17,364D160524,TB,2000,2000,100.00
20,18,364D211124,TB,200,200,100.00
20,19,364D230125,TB,300,300,100.00
20,20,364D230524,TB,100,100,100.00
20,21,364D300125,TB,100,100,100.00
20,22,3IINFOLTD,EQ,4885307,2320010,47.49
20,23,3MINDIA,EQ,6665,1848,27.73
20,24,563GS2026,GS,4703,4703,100.00
20,25,574GS2026,GS,219,219,100.00
20,26,5PAISA,EQ,47819,25262,52.83
20,27,610GS2031,GS,5084,5060,99.53
20,28,618GS2024,GS,97,97,100.00
20,29,654GS2032,GS,9985,9985,100.00
20,30,667GS2035,GS,2001,2000,99.95
20,31,667GS2050,GS,1160,1160,100.00
20,32,669GS2024,GS,1543,1301,84.32
20,33,676GS2061,GS,8,6,75.00
20,34,689GS2025,GS,7,7,100.00
20,35,68GS2060,GS,358,358,100.00
20,36,695GS2061,GS,2035,2035,100.00
20,37,699GS2026,GS,100,100,100.00
20,38,699GS2051,GS,3,3,100.00
20,39,706GS2028,GS,711,711,100.00
20,40,710GS2029,GS,40049,40000,99.88
20,41,717GS2030,GS,1656,1656,100.00
20,42,718GS2033,GS,600,600,100.00
20,43,718GS2037,GS,23395,23395,100.00
20,44,725GS2063,GS,22374,22074,98.66
20,45,726GS2032,GS,103359,101359,98.06
20,46,726GS2033,GS,15098,14937,98.93
20,47,732GS2030,GS,6122,6122,100.00
20,48,733GS2026,GS,1104,1104,100.00
20,49,734TN43,SG,200,200,100.00
20,50,736GS2052,GS,13000,13000,100.00
20,51,737GS2028,GS,1424,1224,85.96
20,52,738GS2027,GS,201670,195419,96.90
20,53,73GS2053,GS,18650,18512,99.26
20,54,741GS2036,GS,18101,18099,99.99
20,55,746GS2073,GS,700,700,100.00
20,56,74GS2062,GS,2,1,50.00
20,57,754GS2036,GS,135486,134548,99.31
20,58,768GJ30,SG,100,100,100.00
20,59,771KL43,SG,100,100,100.00
20,60,772KA35,SG,100,100,100.00
20,61,772UP34,SG,100,100,100.00
20,62,774AP32A,SG,1000,1000,100.00
20,63,794TN32,SG,15000,15000,100.00
20,64,824GS2027,GS,1105,1105,100.00
20,65,826GS2027,GS,5511,5511,100.00
20,66,82GS2025,GS,9,5,55.56
20,67,91D020524,TB,1500,1500,100.00
20,68,91D040424,TB,300,300,100.00
20,69,91D070324,TB,900,900,100.00
20,70,91D110424,TB,1900,1900,100.00
20,71,91D140324,TB,4800,4800,100.00
20,72,91D150224,TB,800,800,100.00
20,73,91D180424,TB,400,400,100.00
20,74,91D210324,TB,300,300,100.00
20,75,91D220224,TB,100,100,100.00
20,76,91D250424,TB,800,800,100.00
20,77,91D280324,TB,800,800,100.00
20,78,91D290224,TB,21800,21800,100.00
20,79,92GS2030,GS,5011,5011,100.00
20,80,AARON,EQ,17532,6055,34.54
20,81,AARTECH,EQ,39295,20722,52.73
20,82,AARTIDRUGS,EQ,147522,73975,50.15
20,83,AARTIIND,EQ,1599801,550332,34.40
20,84,AARTIPHARM,EQ,474203,212060,44.72
20,85,AARTISURF,EQ,49598,12786,25.78
20,86,AARTISURF,P1,86,16,18.60
20,87,AARVEEDEN,EQ,211968,133852,63.15
20,88,AARVI,EQ,80215,44703,55.73
20,89,AATMAJ,SM,72000,60000,83.33
20,90,AAVAS,EQ,293751,205240,69.87
20,91,ABB,EQ,132187,52752,39.91
20,92,ABBOTINDIA,EQ,16917,7407,43.78
20,93,ABCAPITAL,EQ,9230315,3001850,32.52
20,94,ABCOTS,SM,12000,12000,100.00
